id_registo,data_registo,unidade_organizacional,tipo_servico,indicador_si,taxa_resolucao,tempo_resposta,satisfacao_cidadao,volume_interacoes,canal_utilizado,taxa_abandono,erros_tecnicos,transparencia,feedback_cidadao,segmentacao_utilizador,area_tematica,indicador_kpi
51,2024-01-14,Serviços de TI,Portal Online,63.65,89.33,38,4.1,358,presencial,13.58,10,Não,Muito satisfeito,Estudante,Ambiente,64.84
52,2024-08-29,Serviços de Educação,Atendimento Presencial,72.77,71.1,6,3.9,72,telefone,12.85,12,Sim,Processo complicado,Reforma/Pensionista,Cultura,85.92
53,2024-09-21,Departamento de Planeamento Estratégico,Telefone,98.0,92.38,72,3.6,319,portal,14.7,14,Sim,Excelente atendimento,Utilizador Vulnerável,Saúde,97.7
54,2024-12-11,Departamento de Inovação e Digitalização,Email,98.02,87.58,23,4.9,382,chatbot,0.73,11,Sim,Precisa melhorias,Empresa,Digitalização,86.07
55,2024-02-22,Gabinete de Atendimento ao Cidadão,Portal Online,82.94,72.29,47,4.5,252,aplicacao_movel,9.89,2,Sim,Muito satisfeito,Reforma/Pensionista,Social,93.14
56,2024-12-05,Gabinete de Atendimento ao Cidadão,Serviços Digitais,85.27,94.46,90,3.3,375,portal,15.15,7,Sim,Processo complicado,Reforma/Pensionista,Ambiente,50.11
57,2024-04-01,Departamento de Inovação e Digitalização,Atendimento Presencial,77.94,95.78,46,4.7,339,portal,14.94,9,Sim,Serviço eficiente,Utilizador Vulnerável,Cultura,85.88
58,2024-09-20,Gabinete de Atendimento ao Cidadão,Email,71.73,71.71,107,4.0,116,email,19.82,3,Não,Bom serviço,Funcionário Público,Educação,91.48
59,2024-02-04,Departamento de Inovação e Digitalização,Telefone,73.15,77.75,12,4.8,235,email,16.38,13,Sim,Bom serviço,Utilizador Vulnerável,Ambiente,52.03
60,2024-07-24,Direcção de Serviços Financeiros,Email,86.9,92.57,90,4.6,322,email,24.8,1,Não,Excelente atendimento,Reforma/Pensionista,Social,93.58
61,2024-03-21,Departamento de Inovação e Digitalização,Atendimento Presencial,90.09,90.95,13,3.9,227,aplicacao_movel,7.1,1,Não,Tempo de espera elevado,Empresa,Inovação,62.83
62,2024-02-19,Departamento de Saúde Pública,Balcão Único,91.66,75.17,104,3.0,434,email,8.98,0,Sim,Resposta rápida e eficaz,Reforma/Pensionista,Saúde,83.26
63,2024-12-25,Departamento de Inovação e Digitalização,Balcão Único,91.58,75.86,62,3.5,250,telefone,9.6,12,Não,Muito satisfeito,Empresa,Habitação,90.02
64,2024-01-02,Gabinete de Atendimento ao Cidadão,Email,63.65,80.37,82,4.1,268,presencial,11.65,3,Sim,Muito satisfeito,Cidadão,Social,83.13
65,2024-02-23,Serviços de Educação,Chatbot,79.78,83.57,89,4.3,385,chatbot,20.9,9,Não,Precisa melhorias,Estudante,Saúde,54.61
66,2024-04-15,Departamento de Saúde Pública,Serviços Digitais,62.3,87.31,97,3.5,271,portal,5.89,8,Sim,Precisa melhorias,Reforma/Pensionista,Habitação,79.82
67,2024-09-16,Gabinete de Atendimento ao Cidadão,Serviços Digitais,81.98,80.33,111,3.3,14,telefone,19.4,13,Não,Bom serviço,Utilizador Vulnerável,Mobilidade,77.48
68,2024-11-05,Direcção de Recursos Humanos,Email,77.66,82.95,104,4.7,270,chatbot,10.13,10,Não,Bom serviço,Cidadão,Digitalização,95.02
69,2024-07-09,Direcção de Recursos Humanos,Portal Online,95.51,90.93,60,5.0,63,telefone,15.05,6,Não,Falta de informação,Estudante,Educação,70.21
70,2024-08-05,Serviços de Educação,Portal Online,74.04,71.03,43,4.1,56,telefone,15.81,14,Não,Falta de informação,Utilizador Vulnerável,Ambiente,66.05
71,2024-02-13,Serviços de Educação,Serviços Digitais,64.68,77.07,76,3.3,224,portal,9.32,11,Sim,Tempo de espera elevado,Funcionário Público,Social,87.49
72,2024-06-10,Departamento de Saúde Pública,Serviços Digitais,65.72,89.97,108,3.5,186,presencial,12.82,9,Sim,Falta de informação,Utilizador Vulnerável,Educação,70.63
73,2024-07-20,Direcção de Serviços Financeiros,Balcão Único,90.46,95.07,100,3.0,18,email,10.33,6,Sim,Resposta rápida e eficaz,Empresa,Inovação,82.3
74,2024-09-26,Serviços de Educação,Chatbot,84.73,84.33,112,4.8,108,aplicacao_movel,1.73,12,Sim,Resposta rápida e eficaz,Empresa,Saúde,82.32
75,2024-12-16,Direcção de Recursos Humanos,Atendimento Presencial,64.04,84.9,68,3.2,29,presencial,10.93,14,Sim,Muito satisfeito,Funcionário Público,Saúde,94.4
76,2024-10-30,Departamento de Inovação e Digitalização,Portal Online,63.36,73.0,5,4.2,387,aplicacao_movel,2.43,6,Sim,Sistema lento,Cidadão,Social,79.93
77,2024-09-27,Gabinete de Atendimento ao Cidadão,Serviços Digitais,88.04,82.53,37,3.5,250,portal,10.13,14,Não,Resposta rápida e eficaz,Estudante,Cultura,75.11
78,2024-08-02,Direcção de Recursos Humanos,Balcão Único,62.91,84.91,72,4.1,70,portal,14.82,7,Sim,Processo complicado,Utilizador Vulnerável,Cultura,56.94
79,2024-09-08,Direcção de Recursos Humanos,Telefone,92.87,76.79,106,4.3,388,portal,14.49,0,Não,Bom serviço,Empresa,Mobilidade,55.79
80,2024-07-08,Direcção de Serviços Financeiros,Balcão Único,88.25,77.54,113,4.7,499,chatbot,16.57,9,Sim,Precisa melhorias,Cidadão,Digitalização,57.72
81,2024-10-22,Departamento de Saúde Pública,Portal Online,63.25,80.56,92,3.4,428,aplicacao_movel,2.38,12,Não,Falta de informação,Funcionário Público,Habitação,58.59
82,2024-07-31,Departamento de Saúde Pública,Portal Online,63.39,70.56,31,3.0,187,presencial,16.3,9,Não,Muito satisfeito,Reforma/Pensionista,Inovação,81.89
83,2024-07-26,Serviços de TI,Balcão Único,99.47,79.02,9,3.3,347,presencial,7.8,7,Sim,Excelente atendimento,Empresa,Educação,87.05
84,2024-08-24,Direcção de Serviços Financeiros,Atendimento Presencial,74.97,75.92,118,4.8,71,telefone,9.98,3,Sim,Precisa melhorias,Funcionário Público,Cultura,76.5
85,2024-12-03,Departamento de Inovação e Digitalização,Email,74.83,79.17,51,4.7,154,telefone,21.45,3,Não,Processo complicado,Utilizador Vulnerável,Mobilidade,91.45
86,2024-02-22,Departamento de Saúde Pública,Portal Online,92.51,73.35,29,4.2,225,telefone,0.23,3,Sim,Falta de informação,Estudante,Mobilidade,99.56
87,2024-10-06,Gabinete de Atendimento ao Cidadão,Balcão Único,97.89,94.93,78,4.2,12,portal,14.71,5,Sim,Processo complicado,Empresa,Social,91.0
88,2024-08-04,Serviços de Educação,Serviços Digitais,99.44,86.62,40,4.3,169,presencial,14.97,6,Sim,Bom serviço,Empresa,Inovação,84.74
89,2024-09-08,Direcção de Serviços Financeiros,Balcão Único,90.14,89.01,41,3.4,236,aplicacao_movel,9.92,5,Sim,Bom serviço,Utilizador Vulnerável,Habitação,76.62
90,2024-07-06,Serviços de Educação,Chatbot,75.05,92.1,86,4.8,495,portal,5.93,0,Sim,Tempo de espera elevado,Reforma/Pensionista,Digitalização,72.44
91,2024-02-10,Direcção de Recursos Humanos,Email,63.34,83.96,11,3.8,278,chatbot,5.87,11,Sim,Muito satisfeito,Cidadão,Ambiente,54.22
92,2024-06-05,Gabinete de Atendimento ao Cidadão,Telefone,91.09,72.43,23,3.8,129,telefone,22.09,7,Sim,Precisa melhorias,Estudante,Social,69.97
93,2024-01-15,Gabinete de Atendimento ao Cidadão,Atendimento Presencial,82.34,85.04,1,4.0,390,portal,11.05,12,Sim,Serviço eficiente,Empresa,Habitação,95.51
94,2024-10-27,Direcção de Recursos Humanos,Telefone,76.97,86.43,46,3.1,98,portal,8.27,9,Não,Serviço eficiente,Estudante,Ambiente,90.4
95,2024-03-05,Direcção de Serviços Financeiros,Email,96.25,90.87,101,3.3,338,chatbot,11.22,14,Sim,Precisa melhorias,Empresa,Ambiente,60.8
96,2024-12-10,Direcção de Recursos Humanos,Email,64.45,82.09,21,4.5,77,email,16.73,10,Não,Excelente atendimento,Estudante,Inovação,73.33
97,2024-11-22,Serviços de Educação,Email,79.71,73.57,90,3.2,407,presencial,3.64,12,Sim,Muito satisfeito,Funcionário Público,Inovação,90.84
98,2024-01-09,Serviços de TI,Telefone,60.45,77.95,110,4.2,366,aplicacao_movel,11.24,6,Sim,Processo complicado,Empresa,Educação,53.37
99,2024-12-09,Gabinete de Atendimento ao Cidadão,Serviços Digitais,78.75,80.17,36,3.5,107,email,14.7,5,Sim,Excelente atendimento,Estudante,Mobilidade,69.37
100,2024-05-08,Departamento de Planeamento Estratégico,Email,62.25,88.09,54,3.8,276,telefone,23.71,5,Sim,Sistema lento,Cidadão,Habitação,92.59
101,2024-05-15,Departamento de Planeamento Estratégico,Balcão Único,64.75,85.98,87,3.6,114,portal,6.31,4,Sim,Precisa melhorias,Funcionário Público,Social,70.19
102,2024-03-03,Serviços de Educação,Telefone,64.7,79.97,57,3.7,449,chatbot,8.98,5,Sim,Processo complicado,Funcionário Público,Saúde,53.88
103,2024-05-18,Departamento de Inovação e Digitalização,Email,85.97,97.62,1,4.4,332,chatbot,9.48,11,Sim,Serviço eficiente,Cidadão,Social,77.13
104,2024-03-21,Departamento de Saúde Pública,Balcão Único,89.84,86.96,63,3.6,132,presencial,15.14,8,Sim,Resposta rápida e eficaz,Estudante,Educação,93.09
105,2024-06-11,Direcção de Recursos Humanos,Serviços Digitais,83.33,76.64,54,4.1,485,email,8.92,9,Sim,Tempo de espera elevado,Utilizador Vulnerável,Digitalização,79.51
106,2024-10-15,Direcção de Recursos Humanos,Chatbot,98.49,72.85,55,4.0,38,presencial,13.34,8,Sim,Serviço eficiente,Cidadão,Mobilidade,61.31
107,2024-09-17,Departamento de Inovação e Digitalização,Serviços Digitais,74.99,74.28,115,4.3,146,portal,19.54,14,Sim,Muito satisfeito,Estudante,Saúde,69.21
108,2024-08-18,Departamento de Inovação e Digitalização,Email,71.43,76.89,40,4.9,204,presencial,17.63,9,Não,Bom serviço,Cidadão,Cultura,72.51
109,2024-02-10,Serviços de Educação,Telefone,94.74,74.5,15,4.5,418,aplicacao_movel,11.16,7,Sim,Resposta rápida e eficaz,Cidadão,Digitalização,78.96
110,2024-01-28,Serviços de Educação,Portal Online,68.94,75.22,21,3.4,235,chatbot,21.61,9,Sim,Tempo de espera elevado,Empresa,Inovação,87.97
111,2024-05-14,Departamento de Inovação e Digitalização,Email,98.53,77.98,47,3.1,341,chatbot,13.95,8,Não,Tempo de espera elevado,Estudante,Ambiente,54.94
112,2024-07-19,Gabinete de Atendimento ao Cidadão,Portal Online,60.49,74.85,73,3.5,179,telefone,13.5,12,Sim,Sistema lento,Utilizador Vulnerável,Cultura,94.48
113,2024-11-23,Serviços de Educação,Balcão Único,98.8,95.11,53,4.2,18,telefone,0.85,9,Sim,Sistema lento,Empresa,Social,50.62
114,2024-09-24,Serviços de TI,Chatbot,61.73,72.25,9,3.1,472,portal,24.67,7,Não,Falta de informação,Cidadão,Social,68.5
115,2024-02-02,Serviços de Educação,Atendimento Presencial,95.65,84.69,74,4.0,49,aplicacao_movel,3.07,7,Sim,Serviço eficiente,Reforma/Pensionista,Inovação,51.37
116,2024-02-17,Direcção de Recursos Humanos,Serviços Digitais,81.11,81.49,52,4.2,34,email,5.78,0,Sim,Serviço eficiente,Cidadão,Educação,69.65
117,2024-03-02,Serviços de Educação,Chatbot,99.72,97.51,57,3.7,270,presencial,1.29,9,Sim,Serviço eficiente,Cidadão,Habitação,76.29
118,2024-08-03,Gabinete de Atendimento ao Cidadão,Email,62.95,73.14,117,4.5,404,portal,16.0,10,Sim,Falta de informação,Estudante,Cultura,75.58
119,2024-10-19,Departamento de Inovação e Digitalização,Portal Online,82.15,81.14,26,3.2,452,telefone,5.62,4,Sim,Excelente atendimento,Estudante,Cultura,58.28
120,2024-04-08,Direcção de Recursos Humanos,Serviços Digitais,98.77,97.15,41,3.2,235,presencial,4.5,3,Sim,Tempo de espera elevado,Empresa,Digitalização,82.29
121,2024-06-20,Serviços de Educação,Portal Online,80.92,94.23,35,4.5,481,telefone,2.21,1,Sim,Resposta rápida e eficaz,Utilizador Vulnerável,Mobilidade,52.24
122,2024-12-25,Gabinete de Atendimento ao Cidadão,Telefone,85.18,92.88,63,4.0,133,presencial,2.58,7,Sim,Muito satisfeito,Empresa,Digitalização,88.1
123,2024-08-01,Serviços de TI,Portal Online,87.83,77.22,116,4.4,472,email,14.62,2,Não,Tempo de espera elevado,Funcionário Público,Habitação,97.33
124,2024-02-04,Serviços de Educação,Telefone,78.18,74.78,25,3.9,47,portal,17.21,3,Não,Sistema lento,Cidadão,Social,66.99
125,2024-08-14,Gabinete de Atendimento ao Cidadão,Balcão Único,85.1,88.72,90,3.5,337,presencial,9.93,11,Sim,Processo complicado,Reforma/Pensionista,Social,75.86
126,2024-04-10,Serviços de TI,Serviços Digitais,83.37,96.02,75,4.6,260,aplicacao_movel,12.0,6,Sim,Bom serviço,Cidadão,Social,68.95
127,2024-05-10,Departamento de Inovação e Digitalização,Serviços Digitais,96.05,85.59,38,4.6,398,chatbot,17.15,9,Sim,Falta de informação,Cidadão,Social,50.34
128,2024-09-13,Serviços de Educação,Atendimento Presencial,61.82,86.01,2,4.4,185,aplicacao_movel,0.43,8,Sim,Precisa melhorias,Empresa,Habitação,69.29
129,2024-01-05,Serviços de TI,Email,71.24,77.84,7,3.5,99,aplicacao_movel,8.08,1,Sim,Processo complicado,Reforma/Pensionista,Inovação,89.59
130,2024-08-05,Direcção de Recursos Humanos,Telefone,98.02,91.55,82,4.2,411,chatbot,24.33,2,Sim,Muito satisfeito,Reforma/Pensionista,Mobilidade,79.8
131,2024-09-11,Departamento de Inovação e Digitalização,Atendimento Presencial,95.61,75.24,91,3.7,463,aplicacao_movel,14.5,3,Não,Serviço eficiente,Reforma/Pensionista,Habitação,55.06
132,2024-12-24,Direcção de Recursos Humanos,Portal Online,78.23,79.06,34,3.2,46,presencial,6.36,9,Sim,Sistema lento,Empresa,Mobilidade,92.36
133,2024-10-09,Departamento de Planeamento Estratégico,Portal Online,84.81,81.91,91,4.8,325,presencial,13.04,0,Sim,Sistema lento,Cidadão,Habitação,76.55
134,2024-07-25,Direcção de Serviços Financeiros,Atendimento Presencial,71.1,84.21,17,3.3,185,presencial,8.57,6,Sim,Sistema lento,Empresa,Social,92.09
135,2024-01-15,Serviços de Educação,Serviços Digitais,67.52,76.79,43,4.9,470,chatbot,13.31,1,Sim,Serviço eficiente,Estudante,Inovação,79.01
136,2024-12-11,Serviços de TI,Portal Online,78.55,73.22,59,3.9,293,aplicacao_movel,3.14,4,Não,Precisa melhorias,Estudante,Cultura,77.98
137,2024-02-11,Direcção de Serviços Financeiros,Balcão Único,74.13,87.1,108,3.4,462,chatbot,3.32,14,Sim,Falta de informação,Empresa,Digitalização,55.26
138,2024-06-27,Direcção de Serviços Financeiros,Balcão Único,83.35,78.08,51,4.1,470,presencial,3.59,0,Não,Processo complicado,Reforma/Pensionista,Ambiente,58.37
139,2024-03-03,Serviços de TI,Atendimento Presencial,63.11,86.27,54,4.7,90,aplicacao_movel,23.5,2,Sim,Serviço eficiente,Cidadão,Inovação,98.6
140,2024-12-17,Departamento de Inovação e Digitalização,Telefone,98.98,74.32,24,4.5,123,aplicacao_movel,18.32,11,Sim,Muito satisfeito,Empresa,Cultura,61.42
141,2024-08-18,Serviços de Educação,Telefone,99.45,83.47,25,4.6,49,telefone,4.06,1,Sim,Falta de informação,Empresa,Educação,98.87
142,2024-08-28,Departamento de Planeamento Estratégico,Atendimento Presencial,87.93,84.91,71,4.3,310,telefone,4.71,0,Sim,Muito satisfeito,Empresa,Habitação,76.6
143,2024-02-21,Direcção de Recursos Humanos,Telefone,81.44,71.45,52,4.4,233,email,18.27,6,Sim,Falta de informação,Funcionário Público,Educação,56.79
144,2024-04-05,Gabinete de Atendimento ao Cidadão,Serviços Digitais,72.38,79.42,70,4.7,327,portal,3.9,4,Não,Precisa melhorias,Estudante,Cultura,54.97
145,2024-08-09,Direcção de Recursos Humanos,Serviços Digitais,92.55,73.76,117,3.5,358,telefone,5.86,0,Sim,Bom serviço,Reforma/Pensionista,Inovação,60.44
146,2024-08-18,Gabinete de Atendimento ao Cidadão,Telefone,87.39,71.77,88,4.0,124,chatbot,24.08,5,Sim,Muito satisfeito,Utilizador Vulnerável,Habitação,96.28
147,2024-08-24,Direcção de Recursos Humanos,Balcão Único,66.5,97.72,33,3.4,195,telefone,6.38,4,Sim,Serviço eficiente,Reforma/Pensionista,Ambiente,70.71
148,2024-05-22,Serviços de TI,Telefone,96.44,79.03,49,5.0,332,email,16.54,14,Sim,Falta de informação,Utilizador Vulnerável,Social,69.77
149,2024-06-19,Departamento de Planeamento Estratégico,Serviços Digitais,92.9,92.68,29,4.9,65,aplicacao_movel,24.47,2,Sim,Sistema lento,Funcionário Público,Habitação,65.66
150,2024-01-29,Serviços de Educação,Chatbot,97.99,77.13,63,3.1,49,email,9.36,11,Não,Tempo de espera elevado,Empresa,Habitação,57.35
151,2024-02-05,Gabinete de Atendimento ao Cidadão,Email,89.03,89.08,107,4.4,363,aplicacao_movel,0.44,6,Não,Sistema lento,Funcionário Público,Inovação,74.39
152,2024-01-13,Serviços de Educação,Portal Online,84.54,91.29,22,4.9,49,aplicacao_movel,6.1,10,Não,Excelente atendimento,Funcionário Público,Inovação,56.5
153,2024-06-08,Serviços de Educação,Chatbot,76.73,86.68,26,3.4,356,portal,20.77,9,Sim,Bom serviço,Cidadão,Cultura,91.77
154,2024-11-22,Serviços de Educação,Telefone,97.31,83.2,28,4.1,470,telefone,21.62,8,Sim,Bom serviço,Estudante,Saúde,68.52
155,2024-07-05,Departamento de Saúde Pública,Balcão Único,94.64,81.53,114,4.8,246,chatbot,19.21,13,Sim,Sistema lento,Utilizador Vulnerável,Habitação,68.74
156,2024-08-30,Departamento de Inovação e Digitalização,Atendimento Presencial,61.81,79.77,85,3.1,298,chatbot,2.83,12,Sim,Processo complicado,Empresa,Digitalização,73.7
157,2024-03-26,Direcção de Recursos Humanos,Telefone,61.05,96.03,49,4.4,271,presencial,19.89,12,Não,Precisa melhorias,Utilizador Vulnerável,Habitação,72.21
158,2024-10-10,Serviços de Educação,Balcão Único,75.06,93.26,71,3.6,225,aplicacao_movel,22.97,8,Sim,Muito satisfeito,Reforma/Pensionista,Cultura,99.74
159,2024-03-06,Direcção de Recursos Humanos,Email,92.42,97.02,81,4.8,156,chatbot,15.02,13,Sim,Serviço eficiente,Utilizador Vulnerável,Mobilidade,77.27
160,2024-06-18,Serviços de Educação,Telefone,99.49,73.48,84,4.9,345,portal,23.52,8,Sim,Bom serviço,Reforma/Pensionista,Educação,54.41
161,2024-02-14,Gabinete de Atendimento ao Cidadão,Serviços Digitais,66.02,90.46,105,4.9,177,aplicacao_movel,20.67,1,Sim,Sistema lento,Estudante,Social,80.34
